Classe,Acuracia,Precisao,Recall,F1-score
awning-tricycle,0.0,0.0,0.0,0.0
bicycle,0.0,0.0,0.0,0.0
bus,0.435656836461126,0.10903600984119884,0.435656836461126,0.1744186046511628
car,0.5778429254744638,0.5336278141920775,0.5778429254744638,0.5548559152529817
motor,0.07592407592407592,0.0581039755351682,0.07592407592407592,0.06582936336076223
pedestrian,0.0,0.0,0.0,0.0
people,0.0,0.0,0.0,0.0
tricycle,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.0,0.0
van,0.0,0.0,0.0,0.0
