epoch,train_loss,train_acc,val_loss,val_acc,duration_min
1,1.0709568374528333,61.5311004784689,0.803146875734323,75.39395929087328,2.96251353820165
2,0.5819074628138909,79.40988835725678,0.7743290267292794,74.12179908076166,3.004836046695709
3,0.3269200980758363,88.68686868686869,0.7500062556894531,75.99310571240972,3.0252941489219665
4,0.1910373257598872,93.6735778841042,0.8537353582078504,74.94254760341431,3.0171157360076903
5,0.12551364194896866,95.84795321637426,0.9400500582136062,74.18745896257387,3.078859754403432
6,0.09948537211542367,96.56034024455077,0.8243897045697731,78.25837163493105,3.07029496828715
7,0.08285298128906937,97.32057416267942,1.1967234634454909,72.11917268548916,3.022831682364146
8,0.06785425424480743,97.8575225943647,0.9416464066600093,78.11063690085358,3.0333417733510335
9,0.05845047406137291,98.04891015417331,0.9429064680084107,79.55515430072226,3.0286644299825034
10,0.06068085675077797,97.9585326953748,0.897813551090303,79.39100459619172,3.0345926761627195
11,0.05546931930476525,98.1658692185008,1.1728783290972657,73.19435325016416,3.031334098180135
12,0.04808111297999494,98.41573631047315,1.007291742936217,78.20091923834538,3.02824581861496
13,0.04943016781325609,98.43168527379054,1.1862972620847125,74.11359159553513,3.0125879367192585
14,0.0440383169026169,98.53269537480064,1.1637522105946378,74.97537754432042,3.012531403700511
