epoch,train_loss,train_acc,val_loss,val_acc,duration_min
1,2.231988461786987,16.72514619883041,2.2076435211216707,13.361785948785291,35.02050055265427
2,2.1563995704062755,19.681020733652314,1.9760258616543254,23.48161523309258,35.25739339590073
3,2.103235883144924,21.329080276448696,2.0525936541867273,30.277413000656598,35.05949286619822
4,2.069917493370985,23.503455608718767,2.153221827389297,14.683191070256074,35.01893092791239
5,2.041543102239054,24.720893141945773,2.297878053888082,15.323374917925149,37.00648199717204
6,2.018227174217431,26.055289739500267,1.8611567072858954,35.924162836506895,45.34551743268967
7,1.9879714402031987,27.11323763955343,2.236280725727094,14.23177938279711,50.14355598688125
8,1.9679151773326007,27.70334928229665,1.8696403786765066,36.26887721602101,45.45796782970429
9,1.9389468076443304,29.760765550239235,1.95527024724651,26.80564674983585,46.24107298453649
10,1.9004983233239408,30.84529505582137,1.954498304400253,24.92613263296126,46.548213334878284
11,1.8563276057925266,32.73790536948432,1.539513268677404,48.374917925147734,43.220822393894196
12,1.8195071181865654,33.68952684742158,2.038184472313854,23.202560735390676,39.83172864119212
13,1.774059705503566,36.24667729930888,1.9486562354894978,29.11195009848982,35.124679179986316
14,1.714278668206401,38.0595427963849,1.755810228915725,39.00196979645437,35.14054009914398
15,1.6626550183151707,40.43593833067517,1.5930609155155215,45.84701247537755,35.0797173778216
16,1.606447026173147,42.40829346092504,1.646379791430087,41.1112934996717,35.07082269589106
